title,doi,openaire_id,candidate_url,is_open,access_label,oa_route,license,version,hosted_by,collected_from,resolved_at,error
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,doi_dedup___::6b187425ad21a1154eb36e34a49315c4,https://doi.org/10.1080/10447318.2020.1807710,false,,,,Article,International Journal of Human-Computer Interaction,Crossref,2026-08-31T01:27:55.651658+00:00,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,doi_dedup___::6b187425ad21a1154eb36e34a49315c4,https://dx.doi.org/10.6084/m9.figshare.12905991.v1,true,OPEN,,CC BY,Other literature type,figshare,Datacite,2026-08-31T01:27:55.651671+00:00,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,doi_dedup___::6b187425ad21a1154eb36e34a49315c4,https://dx.doi.org/10.6084/m9.figshare.12905991,true,OPEN,,CC BY,Other literature type,figshare,Datacite,2026-08-31T01:27:55.651676+00:00,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,doi_dedup___::6b187425ad21a1154eb36e34a49315c4,https://doi.org/10.1080/10447318.2020.1807710,false,,,,Article,DBLP,DBLP,2026-08-31T01:27:55.651679+00:00,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,doi_dedup___::6b187425ad21a1154eb36e34a49315c4,https://dx.doi.org/10.1080/10447318.2020.1807710,false,,,,Article,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:55.651682+00:00,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,doi_dedup___::6b187425ad21a1154eb36e34a49315c4,https://dx.doi.org/10.1080/10447318.2020.1807710,false,,,,Article,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:55.651690+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://doi.org/10.1108/josm-10-2021-0402,false,CLOSED,,Emerald Insight Site Policies,Article,Journal of Service Management,Crossref,2026-08-31T01:27:56.738552+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://dx.doi.org/10.18154/rwth-2022-02444,false,,,,Article,Unknown Repository,Datacite,2026-08-31T01:27:56.738565+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://doi.org/10.1108/JOSM-10-2021-0402,false,,,,Article,METIS Research Information System,METIS Research Information System,2026-08-31T01:27:56.738568+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://www.emerald.com/insight/content/doi/10.1108/JOSM-10-2021-0402/full/html,false,,,,Article,METIS Research Information System,METIS Research Information System,2026-08-31T01:27:56.738570+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://hdl.handle.net/https://repository.ubn.ru.nl/handle/2066/246895,false,,,,Article,METIS Research Information System,METIS Research Information System,2026-08-31T01:27:56.738572+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://hdl.handle.net/2066/246895,true,OPEN,,,Article,Radboud Repository,Radboud Repository,2026-08-31T01:27:56.738577+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://repository.ubn.ru.nl//bitstream/handle/2066/246895/246895.pdf,true,OPEN,,,Article,Radboud Repository,Radboud Repository,2026-08-31T01:27:56.738579+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,doi_dedup___::b888ced8884053e5af2da10ef23aafee,https://publications.rwth-aachen.de/record/842424,true,OPEN,,,Article,Publikationsserver der RWTH Aachen University,Publikationsserver der RWTH Aachen University,2026-08-31T01:27:56.738582+00:00,
Conversational Agent Design for Algebra Tutoring,10.1109/smc53654.2022.9945524,doi_dedup___::858d0c360adff57988ac1c4ba23bb9b9,https://doi.org/10.1109/smc53654.2022.9945524,false,CLOSED,,STM Policy #29,Article,Unknown Repository,Crossref,2026-08-31T01:27:57.749351+00:00,
Conversational Agent Design for Algebra Tutoring,10.1109/smc53654.2022.9945524,doi_dedup___::858d0c360adff57988ac1c4ba23bb9b9,https://doi.org/10.1109/SMC53654.2022.9945524,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:57.749372+00:00,
