run_id,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,citation_relation
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2889877402,https://doi.org/10.1007/978-3-319-95579-7_9,A Natural Conversation Framework for Conversational UX Design,2018,,book-chapter,,https://doi.org/10.1007/978-3-319-95579-7_9,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2913849230,https://doi.org/10.1145/3309578.3309585,Pedagogical strategies for integrating SEO into technical communication curricula,2019,,article,,https://doi.org/10.1145/3309578.3309585,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2919213596,https://doi.org/10.4324/9781351187510,Creating Intelligent Content with Lightweight DITA,2018,,book,,https://doi.org/10.4324/9781351187510,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2942671448,https://doi.org/10.1145/3304087,Conversational UX Design: A Practitioner's Guide to the Natural Conversation Framework,2019,,book,,https://doi.org/10.1145/3304087,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2979906316,https://doi.org/10.1007/s11747-019-00696-0,How artificial intelligence will change the future of marketing,2019,,article,,https://doi.org/10.1007/s11747-019-00696-0,https://link.springer.com/content/pdf/10.1007/s11747-019-00696-0.pdf,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3103891289,https://doi.org/10.1016/j.mlwa.2020.100006,"Chatbots: History, technology, and applications",2020,,article,,https://doi.org/10.1016/j.mlwa.2020.100006,,,,2,5,termos=7; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3199812860,https://doi.org/10.1177/00472816211041951,"Investigating the Impact of Design Thinking, Content Strategy, and Artificial Intelligence: A “Streams” Approach for Technical Communication and User Experience",2021,,article,,https://doi.org/10.1177/00472816211041951,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3213448597,https://doi.org/10.1177/00472816211044497,User Experience and Technical Communication: Beyond Intertwining,2021,,article,,https://doi.org/10.1177/00472816211044497,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W4205186450,https://doi.org/10.1177/00472816211072533,"Extending Design Thinking, Content Strategy, and Artificial Intelligence into Technical Communication and User Experience Design Programs: Further Pedagogical Implications",2022,,article,,https://doi.org/10.1177/00472816211072533,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W4220690973,https://doi.org/10.37514/tpc-b.2022.1367,User Experience as Innovative Academic Practice,2022,,book,,https://doi.org/10.37514/tpc-b.2022.1367,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W4235073904,https://doi.org/10.1017/cbo9781139173438,Speech Acts,1969,,book,,https://doi.org/10.1017/cbo9781139173438,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
