corpus_id,title,doi,openalex_id,location_number,is_oa,landing_url,pdf_url,license,version,source_name,source_type
DCM-06187,"Instructional Message Design: Past, Present, and Future Relevance",10.1007/978-1-4614-3185-5_30,https://openalex.org/W197999406,1,false,https://doi.org/10.1007/978-1-4614-3185-5_30,,,publishedVersion,,
DCM-06189,Reconceptualizing Instructional Message Design: Toward the Development of a New Guiding Framework,10.1007/978-3-319-00927-8_9,https://openalex.org/W1022445783,1,false,https://doi.org/10.1007/978-3-319-00927-8_9,,,publishedVersion,,
DCM-06190,‘…This is how things are done’: Dismantling the Master-and-Apprentice design pedagogy fallacy with Social Support and Growth Mindset,10.21606/drslxd.2024.045,https://openalex.org/W4392912495,1,true,https://doi.org/10.21606/drslxd.2024.045,,cc-by-nc-sa,publishedVersion,,
DCM-06192,Implications for Research Training and Examination for Design PhDs,10.4135/9781446201039.n27,https://openalex.org/W1519042761,1,false,https://doi.org/10.4135/9781446201039.n27,,,publishedVersion,,
DCM-06192,Implications for Research Training and Examination for Design PhDs,10.4135/9781446201039.n27,https://openalex.org/W1519042761,2,false,http://nrl.northumbria.ac.uk/8112/,,,submittedVersion,Northumbria Research Link (Northumbria University),repository
DCM-06193,A self-aware paradigm for autonomous architectural systems within the Internet of Things,10.1080/17445760.2017.1390098,https://openalex.org/W2765999423,1,false,https://doi.org/10.1080/17445760.2017.1390098,,,publishedVersion,International Journal of Parallel Emergent and Distributed Systems,journal
DCM-06193,A self-aware paradigm for autonomous architectural systems within the Internet of Things,10.1080/17445760.2017.1390098,https://openalex.org/W2765999423,2,false,http://eprints.staffs.ac.uk/3625/1/A%20self-aware%20paradigm%20for%20autonomous%20architectural%20systems%20within%20the%20Internet%20of%20Things.pdf,http://eprints.staffs.ac.uk/3625/1/A%20self-aware%20paradigm%20for%20autonomous%20architectural%20systems%20within%20the%20Internet%20of%20Things.pdf,,acceptedVersion,Staffordshire Online Repository (Staffordshire University),repository
DCM-06194,Creating a Model of Use,10.1007/978-1-84882-553-6_3,https://openalex.org/W48929477,1,false,https://doi.org/10.1007/978-1-84882-553-6_3,,,publishedVersion,Human-computer interaction series,book series
DCM-06195,The pragmatics and aesthetics of knowing: implications for online education,10.1108/k-06-2013-0114,https://openalex.org/W1888158006,1,false,https://doi.org/10.1108/k-06-2013-0114,,,publishedVersion,Kybernetes,journal
DCM-06196,Pre-service Teachers' Attitudes and Views about Smart Learning: Implications for Creative Teaching and Learning,10.14257/ijseia.2016.10.2.24,https://openalex.org/W2555647717,1,false,http://doi.org/10.14257/ijseia.2016.10.2.24,,,publishedVersion,International Journal of Software Engineering and Its Applications,journal
